SiO2,Al2O3,B2O3,CaO,Na2O,Li2O,MgO,BaO,ZnO,K2O,PbO,SrO,GeO2,ZrO2,TiO2,TeO2,FemOn,P2O5,Tg
40.35102,5.660191,20.92667,1.89819,0,0,0,10.38003,1.652993,19.13091,0,0,0,0,0,0,0,0,565
42.03365,5.89622,21.79931,1.977344,0,0,0,0,1.721922,26.57155,0,0,0,0,0,0,0,0,550
78.50648,0,11.37077,0,10.12275,0,0,0,0,0,0,0,0,0,0,0,0,0,593
62.33036,0,27.77797,0,9.891665,0,0,0,0,0,0,0,0,0,0,0,0,0,511
53.69302,0,36.53871,0,9.768274,0,0,0,0,0,0,0,0,0,0,0,0,0,465
36.95124,0,53.51965,0,9.529106,0,0,0,0,0,0,0,0,0,0,0,0,0,426
64.26002,0,24.11255,0,11.62744,0,0,0,0,0,0,0,0,0,0,0,0,0,560
73.25791,0,14.14743,0,12.59466,0,0,0,0,0,0,0,0,0,0,0,0,0,590
69.5788,0,17.79079,0,12.63041,0,0,0,0,0,0,0,0,0,0,0,0,0,592
70.34367,0,16.91034,0,12.74599,0,0,0,0,0,0,0,0,0,0,0,0,0,596
72.21404,0,14.69967,0,13.08629,0,0,0,0,0,0,0,0,0,0,0,0,0,595
73.32167,0,13.3668,0,13.31153,0,0,0,0,0,0,0,0,0,0,0,0,0,602
50.51825,0,36.50274,0,12.97902,0,0,0,0,0,0,0,0,0,0,0,0,0,507
75.87872,0,10.35038,0,13.77091,0,0,0,0,0,0,0,0,0,0,0,0,0,586
53.23056,0,33.04217,0,13.72727,0,0,0,0,0,0,0,0,0,0,0,0,0,530
79.80932,0,5.722509,0,14.46817,0,0,0,0,0,0,0,0,0,0,0,0,0,538
54.38614,0,31.56403,0,14.04984,0,0,0,0,0,0,0,0,0,0,0,0,0,541
68.05788,0,16.89841,0,15.0437,0,0,0,0,0,0,0,0,0,0,0,0,0,590
57.44886,0,27.73604,0,14.8151,0,0,0,0,0,0,0,0,0,0,0,0,0,564
42.12642,0,43.38866,0,14.48493,0,0,0,0,0,0,0,0,0,0,0,0,0,496
61.72917,0,22.35191,0,15.91892,0,0,0,0,0,0,0,0,0,0,0,0,0,589
